product_id,warehouse,quantity_on_hand,reorder_level,last_updated
1,Los Angeles,137,39,2026-08-22T14:22:01.627223
1,Dallas,34,41,2026-08-22T14:22:01.627229
1,Chicago,31,39,2026-08-22T14:22:01.627231
2,Los Angeles,68,22,2026-08-22T14:22:01.627233
2,Dallas,5,37,2026-08-22T14:22:01.627235
2,Chicago,206,45,2026-08-22T14:22:01.627236
3,Los Angeles,245,45,2026-08-22T14:22:01.627238
3,Dallas,30,16,2026-08-22T14:22:01.627240
3,Chicago,193,34,2026-08-22T14:22:01.627241
4,Los Angeles,214,27,2026-08-22T14:22:01.627243
4,Dallas,198,12,2026-08-22T14:22:01.627245
4,Chicago,51,29,2026-08-22T14:22:01.627246
5,Los Angeles,242,23,2026-08-22T14:22:01.627248
5,Dallas,151,42,2026-08-22T14:22:01.627249
5,Chicago,194,43,2026-08-22T14:22:01.627251
6,Los Angeles,230,14,2026-08-22T14:22:01.627253
6,Dallas,129,41,2026-08-22T14:22:01.627254
6,Chicago,52,45,2026-08-22T14:22:01.627256
7,Los Angeles,120,38,2026-08-22T14:22:01.627257
7,Dallas,166,32,2026-08-22T14:22:01.627259
7,Chicago,246,42,2026-08-22T14:22:01.627260
8,Los Angeles,56,24,2026-08-22T14:22:01.627262
8,Dallas,54,35,2026-08-22T14:22:01.627263
8,Chicago,72,40,2026-08-22T14:22:01.627265
9,Los Angeles,115,10,2026-08-22T14:22:01.627267
9,Dallas,212,26,2026-08-22T14:22:01.627268
9,Chicago,24,24,2026-08-22T14:22:01.627270
10,Los Angeles,183,10,2026-08-22T14:22:01.627271
10,Dallas,154,10,2026-08-22T14:22:01.627273
10,Chicago,159,17,2026-08-22T14:22:01.627274
11,Los Angeles,241,32,2026-08-22T14:22:01.627276
11,Dallas,49,42,2026-08-22T14:22:01.627278
11,Chicago,211,50,2026-08-22T14:22:01.627279
12,Los Angeles,223,36,2026-08-22T14:22:01.627281
12,Dallas,248,11,2026-08-22T14:22:01.627282
12,Chicago,47,44,2026-08-22T14:22:01.627284
13,Los Angeles,32,35,2026-08-22T14:22:01.627285
13,Dallas,34,32,2026-08-22T14:22:01.627287
13,Chicago,67,20,2026-08-22T14:22:01.627288
14,Los Angeles,248,12,2026-08-22T14:22:01.627290
14,Dallas,236,26,2026-08-22T14:22:01.627292
14,Chicago,17,20,2026-08-22T14:22:01.627293
15,Los Angeles,220,24,2026-08-22T14:22:01.627295
15,Dallas,228,15,2026-08-22T14:22:01.627296
15,Chicago,156,12,2026-08-22T14:22:01.627301
16,Los Angeles,185,32,2026-08-22T14:22:01.627303
16,Dallas,115,39,2026-08-22T14:22:01.627305
16,Chicago,34,10,2026-08-22T14:22:01.627307
17,Los Angeles,68,27,2026-08-22T14:22:01.627308
17,Dallas,16,11,2026-08-22T14:22:01.627310
17,Chicago,14,41,2026-08-22T14:22:01.627312
18,Los Angeles,176,47,2026-08-22T14:22:01.627314
18,Dallas,214,27,2026-08-22T14:22:01.627316
18,Chicago,25,46,2026-08-22T14:22:01.627318
19,Los Angeles,55,20,2026-08-22T14:22:01.627319
19,Dallas,69,33,2026-08-22T14:22:01.627321
19,Chicago,199,25,2026-08-22T14:22:01.627323
20,Los Angeles,215,45,2026-08-22T14:22:01.627325
20,Dallas,164,14,2026-08-22T14:22:01.627327
20,Chicago,15,49,2026-08-22T14:22:01.627328
21,Los Angeles,123,49,2026-08-22T14:22:01.627330
21,Dallas,79,16,2026-08-22T14:22:01.627332
21,Chicago,244,50,2026-08-22T14:22:01.627334
22,Los Angeles,236,19,2026-08-22T14:22:01.627336
22,Dallas,36,27,2026-08-22T14:22:01.627337
22,Chicago,139,39,2026-08-22T14:22:01.627339
23,Los Angeles,7,47,2026-08-22T14:22:01.627341
23,Dallas,186,45,2026-08-22T14:22:01.627342
23,Chicago,121,19,2026-08-22T14:22:01.627344
24,Los Angeles,190,34,2026-08-22T14:22:01.627345
24,Dallas,65,46,2026-08-22T14:22:01.627347
24,Chicago,104,23,2026-08-22T14:22:01.627349
25,Los Angeles,46,21,2026-08-22T14:22:01.627350
25,Dallas,95,15,2026-08-22T14:22:01.627352
25,Chicago,126,29,2026-08-22T14:22:01.627353
26,Los Angeles,203,19,2026-08-22T14:22:01.627355
26,Dallas,47,28,2026-08-22T14:22:01.627356
26,Chicago,3,26,2026-08-22T14:22:01.627358
27,Los Angeles,213,23,2026-08-22T14:22:01.627360
27,Dallas,44,36,2026-08-22T14:22:01.627362
27,Chicago,25,16,2026-08-22T14:22:01.627363
28,Los Angeles,136,49,2026-08-22T14:22:01.627365
28,Dallas,13,12,2026-08-22T14:22:01.627366
28,Chicago,49,29,2026-08-22T14:22:01.627368
29,Los Angeles,97,43,2026-08-22T14:22:01.627369
29,Dallas,110,16,2026-08-22T14:22:01.627371
29,Chicago,176,34,2026-08-22T14:22:01.627372
30,Los Angeles,55,13,2026-08-22T14:22:01.627374
30,Dallas,121,10,2026-08-22T14:22:01.627375
30,Chicago,38,44,2026-08-22T14:22:01.627377
31,Los Angeles,102,38,2026-08-22T14:22:01.627378
31,Dallas,177,20,2026-08-22T14:22:01.627380
31,Chicago,14,19,2026-08-22T14:22:01.627382
32,Los Angeles,199,12,2026-08-22T14:22:01.627383
32,Dallas,8,48,2026-08-22T14:22:01.627385
32,Chicago,85,25,2026-08-22T14:22:01.627387
33,Los Angeles,100,36,2026-08-22T14:22:01.627388
33,Dallas,184,18,2026-08-22T14:22:01.627390
33,Chicago,17,46,2026-08-22T14:22:01.627391
34,Los Angeles,92,22,2026-08-22T14:22:01.627393
34,Dallas,104,44,2026-08-22T14:22:01.627394
34,Chicago,149,11,2026-08-22T14:22:01.627396
35,Los Angeles,2,31,2026-08-22T14:22:01.627397
35,Dallas,119,40,2026-08-22T14:22:01.627399
35,Chicago,154,30,2026-08-22T14:22:01.627400
36,Los Angeles,7,13,2026-08-22T14:22:01.627402
36,Dallas,24,41,2026-08-22T14:22:01.627404
36,Chicago,62,18,2026-08-22T14:22:01.627405
37,Los Angeles,85,46,2026-08-22T14:22:01.627407
37,Dallas,247,10,2026-08-22T14:22:01.627409
37,Chicago,6,39,2026-08-22T14:22:01.627410
38,Los Angeles,55,49,2026-08-22T14:22:01.627412
38,Dallas,118,15,2026-08-22T14:22:01.627413
38,Chicago,48,12,2026-08-22T14:22:01.627415
39,Los Angeles,167,38,2026-08-22T14:22:01.627417
39,Dallas,43,20,2026-08-22T14:22:01.627418
39,Chicago,23,16,2026-08-22T14:22:01.627420
40,Los Angeles,52,44,2026-08-22T14:22:01.627422
40,Dallas,208,34,2026-08-22T14:22:01.627423
40,Chicago,144,12,2026-08-22T14:22:01.627425
41,Los Angeles,190,42,2026-08-22T14:22:01.627426
41,Dallas,120,14,2026-08-22T14:22:01.627428
41,Chicago,167,34,2026-08-22T14:22:01.627429
42,Los Angeles,126,19,2026-08-22T14:22:01.627431
42,Dallas,47,17,2026-08-22T14:22:01.627433
42,Chicago,6,26,2026-08-22T14:22:01.627434
43,Los Angeles,80,27,2026-08-22T14:22:01.627436
43,Dallas,190,36,2026-08-22T14:22:01.627438
43,Chicago,202,17,2026-08-22T14:22:01.627439
44,Los Angeles,126,17,2026-08-22T14:22:01.627441
44,Dallas,145,20,2026-08-22T14:22:01.627443
44,Chicago,140,14,2026-08-22T14:22:01.627445
45,Los Angeles,121,10,2026-08-22T14:22:01.627446
45,Dallas,116,26,2026-08-22T14:22:01.627448
45,Chicago,78,25,2026-08-22T14:22:01.627449
46,Los Angeles,104,13,2026-08-22T14:22:01.627451
46,Dallas,250,19,2026-08-22T14:22:01.627453
46,Chicago,211,24,2026-08-22T14:22:01.627454
47,Los Angeles,194,29,2026-08-22T14:22:01.627456
47,Dallas,75,18,2026-08-22T14:22:01.627457
47,Chicago,47,33,2026-08-22T14:22:01.627459
48,Los Angeles,36,15,2026-08-22T14:22:01.627460
48,Dallas,165,35,2026-08-22T14:22:01.627462
48,Chicago,3,19,2026-08-22T14:22:01.627464
49,Los Angeles,87,21,2026-08-22T14:22:01.627465
49,Dallas,54,47,2026-08-22T14:22:01.627467
49,Chicago,69,15,2026-08-22T14:22:01.627468
50,Los Angeles,36,11,2026-08-22T14:22:01.627470
50,Dallas,149,27,2026-08-22T14:22:01.627472
50,Chicago,78,38,2026-08-22T14:22:01.627473
51,Los Angeles,204,40,2026-08-22T14:22:01.627475
51,Dallas,226,21,2026-08-22T14:22:01.627476
51,Chicago,96,49,2026-08-22T14:22:01.627478
52,Los Angeles,5,23,2026-08-22T14:22:01.627480
52,Dallas,172,21,2026-08-22T14:22:01.627481
52,Chicago,107,50,2026-08-22T14:22:01.627483
53,Los Angeles,90,30,2026-08-22T14:22:01.627484
53,Dallas,24,24,2026-08-22T14:22:01.627486
53,Chicago,236,18,2026-08-22T14:22:01.627487
54,Los Angeles,120,36,2026-08-22T14:22:01.627489
54,Dallas,20,39,2026-08-22T14:22:01.627490
54,Chicago,154,29,2026-08-22T14:22:01.627492
55,Los Angeles,184,45,2026-08-22T14:22:01.627494
55,Dallas,6,18,2026-08-22T14:22:01.627495
55,Chicago,69,32,2026-08-22T14:22:01.627497
56,Los Angeles,211,32,2026-08-22T14:22:01.627498
56,Dallas,149,44,2026-08-22T14:22:01.627500
56,Chicago,89,17,2026-08-22T14:22:01.627502
57,Los Angeles,97,12,2026-08-22T14:22:01.627503
57,Dallas,33,16,2026-08-22T14:22:01.627505
57,Chicago,27,46,2026-08-22T14:22:01.627506
58,Los Angeles,170,17,2026-08-22T14:22:01.627508
58,Dallas,81,44,2026-08-22T14:22:01.627510
58,Chicago,148,15,2026-08-22T14:22:01.627511
59,Los Angeles,43,37,2026-08-22T14:22:01.627513
59,Dallas,138,35,2026-08-22T14:22:01.627515
59,Chicago,193,28,2026-08-22T14:22:01.627516
60,Los Angeles,187,48,2026-08-22T14:22:01.627518
60,Dallas,205,44,2026-08-22T14:22:01.627519
60,Chicago,226,36,2026-08-22T14:22:01.627521
61,Los Angeles,65,40,2026-08-22T14:22:01.627522
61,Dallas,142,37,2026-08-22T14:22:01.627524
