order_id,customer_id,product_id,quantity,unit_price,discount_pct,total_amount,status,order_date,updated_at
1,157,85,5,179.75,0,500.55,processing,2026-05-20T18:04:01.208332,2026-05-20T18:04:01.208332
2,272,45,4,66.28,15,225.35,completed,2026-06-03T19:03:01.208332,2026-06-03T19:03:01.208332
3,181,90,4,221.59,0,886.36,completed,2026-04-20T10:01:01.208332,2026-04-20T10:01:01.208332
4,119,16,2,113.51,0,227.02,cancelled,2026-03-17T08:42:01.208332,2026-03-17T08:42:01.208332
5,275,98,2,165.02,0,330.04,cancelled,2026-04-03T23:45:01.208332,2026-04-03T23:45:01.208332
6,248,36,5,202.99,20,811.96,processing,2026-05-30T02:32:01.208332,2026-05-30T02:32:01.208332
7,145,13,2,225.88,0,451.76,completed,2026-04-06T00:15:01.208332,2026-04-06T00:15:01.208332
8,92,39,1,247.09,15,210.03,completed,2026-05-31T20:02:01.208332,2026-05-31T20:02:01.208332
9,141,6,1,94.28,10,84.85,cancelled,2026-04-17T18:43:01.208332,2026-04-17T18:43:01.208332
10,484,17,4,85.34,0,341.36,completed,2026-08-01T11:20:01.208332,2026-08-01T11:20:01.208332
11,294,37,4,143.78,5,546.36,completed,2026-05-14T18:48:01.208332,2026-05-14T18:48:01.208332
12,95,7,3,89.48,20,214.75,completed,2026-05-21T13:35:01.208332,2026-05-21T13:35:01.208332
13,421,9,4,149.34,5,567.49,processing,2026-03-09T02:02:01.208332,2026-03-09T02:02:01.208332
14,323,88,1,114.54,0,114.54,processing,2026-03-22T18:13:01.208332,2026-03-22T18:13:01.208332
15,486,39,1,247.09,0,247.09,processing,2026-03-17T03:53:01.208332,2026-03-17T03:53:01.208332
16,392,54,5,139.17,10,626.26,processing,2026-07-17T13:09:01.208332,2026-07-17T13:09:01.208332
17,116,100,5,63.18,5,300.1,shipped,2026-05-16T14:41:01.208332,2026-05-16T14:41:01.208332
18,153,76,4,172.56,0,690.24,processing,2026-06-07T02:44:01.208332,2026-06-07T02:44:01.208332
19,31,79,1,177.33,20,141.86,cancelled,2026-04-02T10:12:01.208332,2026-04-02T10:12:01.208332
20,109,34,1,167.45,0,167.45,completed,2026-04-08T06:21:01.208332,2026-04-08T06:21:01.208332
21,283,10,2,36.02,0,72.04,shipped,2026-05-08T23:12:01.208332,2026-05-08T23:12:01.208332
22,353,77,4,235.95,0,943.8,completed,2026-03-01T12:58:01.208332,2026-03-01T12:58:01.208332
23,148,91,3,146.76,15,374.24,shipped,2026-07-30T02:02:01.208332,2026-07-30T02:02:01.208332
24,37,88,2,114.54,0,229.08,cancelled,2026-07-17T00:26:01.208332,2026-07-17T00:26:01.208332
25,302,85,2,179.75,5,341.52,processing,2026-03-16T11:49:01.208332,2026-03-16T11:49:01.208332
26,116,83,2,213.9,0,427.8,completed,2026-07-24T01:58:01.208332,2026-07-24T01:58:01.208332
27,37,8,2,220.49,20,352.78,processing,2026-04-20T14:20:01.208332,2026-04-20T14:20:01.208332
28,384,73,3,155.74,5,443.86,shipped,2026-03-18T05:40:01.208332,2026-03-18T05:40:01.208332
